,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
111351,Punjab Kings,Punjab Kings,Chandigarh,190,124,8,190,-0.0,9.19,0
111356,Punjab Kings,Punjab Kings,Chandigarh,185,119,3,190,30.0,9.33,0
111357,Punjab Kings,Punjab Kings,Chandigarh,185,118,2,190,15.0,9.41,0
111358,Punjab Kings,Punjab Kings,Chandigarh,185,117,1,190,10.0,9.49,0
111359,Punjab Kings,Punjab Kings,Chandigarh,185,116,0,190,7.5,9.57,0
111593,Mumbai Indians,Kolkata Knight Riders,Mumbai,175,125,9,175,-0.0,8.4,1
111599,Mumbai Indians,Kolkata Knight Riders,Mumbai,167,119,3,175,48.0,8.42,1
111600,Mumbai Indians,Kolkata Knight Riders,Mumbai,163,118,2,175,36.0,8.29,1
111601,Mumbai Indians,Kolkata Knight Riders,Mumbai,162,117,1,175,26.0,8.31,1
111602,Mumbai Indians,Kolkata Knight Riders,Mumbai,161,116,0,175,21.0,8.33,1
111829,Kolkata Knight Riders,Delhi Capitals,Delhi,187,125,9,187,-0.0,8.98,0
111835,Kolkata Knight Riders,Delhi Capitals,Delhi,182,119,3,187,30.0,9.18,0
111836,Kolkata Knight Riders,Delhi Capitals,Delhi,181,118,2,187,18.0,9.2,0
111837,Kolkata Knight Riders,Delhi Capitals,Delhi,180,117,1,187,14.0,9.23,0
111838,Kolkata Knight Riders,Delhi Capitals,Delhi,179,116,0,187,12.0,9.26,0
112076,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,183,119,3,195,72.0,9.23,0
112077,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,179,118,2,195,48.0,9.1,0
112078,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,178,117,1,195,34.0,9.13,0
112079,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,178,116,0,195,25.5,9.21,0
112316,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,186,125,9,186,-0.0,8.93,1
112322,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,179,119,3,186,42.0,9.03,1
112323,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,178,118,2,186,24.0,9.05,1
112324,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,178,117,1,186,16.0,9.13,1
112325,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,178,116,0,186,12.0,9.21,1
112569,Punjab Kings,Kolkata Knight Riders,Kolkata,163,119,3,165,12.0,8.22,0
112570,Punjab Kings,Kolkata Knight Riders,Kolkata,163,119,2,165,12.0,8.22,0
112571,Punjab Kings,Kolkata Knight Riders,Kolkata,163,118,1,165,6.0,8.29,0
112572,Punjab Kings,Kolkata Knight Riders,Kolkata,162,117,0,165,6.0,8.31,0
112810,Delhi Capitals,Punjab Kings,Chandigarh,182,125,9,182,-0.0,8.74,0
112811,Delhi Capitals,Punjab Kings,Chandigarh,182,124,8,182,-0.0,8.81,0
112816,Delhi Capitals,Punjab Kings,Chandigarh,178,119,3,182,24.0,8.97,0
112817,Delhi Capitals,Punjab Kings,Chandigarh,178,118,2,182,12.0,9.05,0
112818,Delhi Capitals,Punjab Kings,Chandigarh,178,117,1,182,8.0,9.13,0
112819,Delhi Capitals,Punjab Kings,Chandigarh,174,116,0,182,12.0,9.0,0
113061,Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,173,119,3,178,30.0,8.72,0
113062,Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,173,118,2,178,15.0,8.8,0
113063,Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,173,117,1,178,10.0,8.87,0
113064,Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,173,116,0,178,7.5,8.95,0
113288,Punjab Kings,Punjab Kings,Chandigarh,167,119,3,176,54.0,8.42,0
113289,Punjab Kings,Punjab Kings,Chandigarh,166,118,2,176,30.0,8.44,0
113290,Punjab Kings,Punjab Kings,Chandigarh,166,117,1,176,20.0,8.51,0
113291,Punjab Kings,Punjab Kings,Chandigarh,165,116,0,176,16.5,8.53,0
113526,Mumbai Indians,Royal Challengers Bangalore,Bangalore,152,125,9,152,-0.0,7.3,1
113532,Mumbai Indians,Royal Challengers Bangalore,Bangalore,150,119,3,152,12.0,7.56,1
113533,Mumbai Indians,Royal Challengers Bangalore,Bangalore,150,118,2,152,6.0,7.63,1
113534,Mumbai Indians,Royal Challengers Bangalore,Bangalore,149,117,1,152,6.0,7.64,1
113535,Mumbai Indians,Royal Challengers Bangalore,Bangalore,148,116,0,152,6.0,7.66,1
113773,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,147,125,9,147,-0.0,7.06,0
113774,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,147,124,8,147,-0.0,7.11,0
113779,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,142,119,3,147,30.0,7.16,0
113780,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,138,118,2,147,27.0,7.02,0
113781,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,134,117,1,147,26.0,6.87,0
113782,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,134,116,0,147,19.5,6.93,0
114013,Punjab Kings,Mumbai Indians,Visakhapatnam,124,119,3,125,6.0,6.25,0
114014,Punjab Kings,Mumbai Indians,Visakhapatnam,124,118,2,125,3.0,6.31,0
114015,Punjab Kings,Mumbai Indians,Visakhapatnam,120,117,1,125,10.0,6.15,0
114016,Punjab Kings,Mumbai Indians,Visakhapatnam,120,116,0,125,7.5,6.21,0
114233,Sunrisers Hyderabad,Punjab Kings,Chandigarh,180,125,9,180,-0.0,8.64,1
114239,Sunrisers Hyderabad,Punjab Kings,Chandigarh,171,119,3,180,54.0,8.62,1
114240,Sunrisers Hyderabad,Punjab Kings,Chandigarh,167,118,2,180,39.0,8.49,1
114241,Sunrisers Hyderabad,Punjab Kings,Chandigarh,167,117,1,180,26.0,8.56,1
114242,Sunrisers Hyderabad,Punjab Kings,Chandigarh,166,116,0,180,21.0,8.59,1
114483,Delhi Capitals,Mumbai Indians,Visakhapatnam,197,119,3,207,60.0,9.93,0
114484,Delhi Capitals,Mumbai Indians,Visakhapatnam,196,118,2,207,33.0,9.97,0
